3.023	5.138
3.075	4.989
2.321	5.350
3.328	4.944
3.195	5.186
3.034	4.656
3.484	4.877
3.023	4.951
2.707	4.871
2.894	5.031
2.880	5.207
2.780	5.196
2.941	4.951
3.213	5.123
2.972	4.941
3.138	5.460
3.247	5.185
3.602	5.405
2.857	4.686
3.390	4.801
3.125	4.809
3.363	5.073
2.762	4.868
2.798	5.120
3.320	4.969
3.510	5.224
3.115	4.820
3.027	4.907
3.015	4.846
2.868	5.018
3.018	4.559
3.095	4.766
3.118	5.067
2.790	5.027
3.201	5.069
2.930	5.041
2.902	5.330
2.859	4.928
3.028	5.273
2.671	4.890
3.246	4.627
3.129	4.802
2.867	4.659
2.848	4.693
2.798	5.289
3.147	4.867
3.082	4.613
2.997	5.014
2.427	5.078
2.798	4.748
3.501	5.064
2.997	4.728
2.820	5.244
3.572	5.143
3.339	5.188
2.938	4.854
3.342	4.710
3.142	5.047
3.500	5.140
3.691	5.260
3.106	5.552
3.577	4.843
2.548	5.113
2.860	5.237
2.645	5.030
3.068	5.034
2.616	4.944
2.727	5.005
3.150	5.232
2.803	4.772
3.135	5.339
3.496	5.377
3.425	4.927
3.226	5.379
3.115	5.255
3.010	4.566
2.877	5.028
2.790	4.949
2.720	4.853
2.916	4.958
3.073	4.982
2.418	4.789
3.260	4.840
3.272	5.353
2.565	4.687
2.909	5.257
2.283	4.588
2.258	5.178
2.601	5.050
2.997	4.624
2.504	4.273
2.860	5.266
2.334	4.544
2.902	5.691
3.774	4.940
2.566	4.794
2.622	4.899
2.844	4.520
2.969	4.769
2.948	4.625
3.233	5.268
2.740	5.629
3.213	4.994
3.180	5.052
3.039	4.604
3.159	5.180
3.399	5.199
2.653	4.732
3.265	5.516
2.510	4.517
2.828	4.606
2.538	5.087
3.535	5.130
2.702	5.049
2.751	4.823
3.194	4.638
2.707	4.605
3.184	5.306
3.035	4.811
3.018	5.272
3.503	4.917
2.820	4.818
2.805	4.930
2.773	5.629
3.647	4.414
3.226	5.465
2.976	4.682
2.904	4.854
3.144	4.925
2.616	4.767
2.755	4.856
3.444	4.186
2.774	5.274
3.155	5.141
3.503	5.493
3.133	4.902
3.387	4.688
3.045	5.068
2.615	5.364
3.374	5.229
2.861	5.319
2.838	4.976
3.177	5.251
2.653	4.521
2.720	4.856
3.046	4.636
2.556	4.350
3.665	4.661
2.870	5.449
2.656	5.077
2.602	4.721
3.689	4.929
2.672	5.302
3.434	5.539
3.348	5.159
2.860	5.200
2.499	5.264
2.766	4.805
3.245	5.173
2.758	4.564
2.682	4.688
3.076	5.082
3.009	5.176
3.087	4.963
2.989	4.597
2.914	5.267
2.584	4.506
3.534	5.109
3.045	5.120
2.958	5.390
3.355	5.149
3.269	4.924
2.750	5.362
2.857	4.952
3.127	5.417
3.141	4.935
2.991	4.797
3.109	5.641
3.550	5.042
